912850,HILO INTERNATIONAL AP,HI,-10,19.717,-155.05,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1987,1:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,21.1,A,7,20.6,A,7,97,A,7,1015,A,7,200,A,7,2.6,A,7,400,B,7,370,A,7,3.7,E,8,0,?,0,0,?,0,64,1,D,9,0,C,8,294.1
1/1/1987,2:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,20.6,A,7,20,A,7,97,A,7,1015,A,7,230,A,7,4.1,A,7,3200,B,7,520,A,7,3.6,E,8,0,?,0,0,?,0,20,1,D,9,4,C,8,293.1740241
1/1/1987,3:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,20.6,A,7,20,A,7,97,A,7,1015,A,7,260,A,7,2.6,A,7,16100,B,7,550,A,7,3.6,E,8,0,?,0,0,?,0,5,1,D,9,80,C,8,292.5412914
1/1/1987,4:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,20.6,A,7,20,A,7,97,A,7,1015,A,7,240,A,7,2.6,A,7,16100,B,7,550,A,7,3.6,E,8,0,?,0,0,?,0,5,1,D,9,0,C,8,292.2330094
1/1/1987,5:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,21.1,A,7,19.4,A,7,90,A,7,1015,A,7,220,A,7,3.1,A,7,19300,B,7,610,A,7,3.5,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8,292.2582309
1/1/1987,6:00,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,A,7,10,A,7,21.1,A,7,20,A,7,93,A,7,1016,A,7,360,A,7,3.1,A,7,24100,B,7,1160,A,7,3.6,E,8,0,?,0,0,?,0,0,1,D,9,0,C,8,292.3680541
1/1/1987,7:00,1,83,1,1,13,1,1,13,1,1,18,0,1,13,0,1,13,0,1,18,0,1,26,7,A,7,7,A,7,21.1,A,7,20,A,7,93,A,7,1016,A,7,210,A,7,2.1,A,7,24100,B,7,1220,A,7,3.6,E,8,0,F,8,0,?,0,3,1,D,9,0,C,8,292.4153706
1/1/1987,8:00,166,1415,44,1,13,75,1,13,35,1,18,47,1,13,41,1,13,42,1,18,63,1,26,6,A,7,6,A,7,22.2,A,7,20.6,A,7,90,A,7,1017,A,7,180,A,7,2.6,A,7,24100,B,7,1220,A,7,3.7,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,292.8481691
1/1/1987,9:00,455,1415,247,1,13,544,1,13,71,1,18,257,1,13,492,1,13,98,1,18,136,1,26,3,A,7,3,A,7,25,A,7,20,A,7,74,A,7,1017,A,7,200,A,7,2.6,A,7,24100,B,7,77777,A,7,3.6,E,8,0,F,8,0,?,0,0,1,D,9,2,C,8,295.7859456
1/1/1987,10:00,702,1415,424,1,9,640,1,13,105,1,13,447,1,9,633,1,13,132,1,13,226,1,21,2,A,7,2,A,7,26.7,A,7,20.6,A,7,69,A,7,1017,A,7,170,A,7,4.1,A,7,24100,B,7,77777,A,7,3.7,E,8,0,F,8,0,?,0,0,1,D,9,0,C,8,301.091173
